method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,1487,5.047055138213625,0.5,3.9160766235912225
entropic_clustering,0,246,2.2711035534518382,0.3,1.0084683648901664
entropic_clustering,1,86,10.322081402366386,0.35,1.7767449252606569
entropic_clustering,2,167,6.424678546314587,0.3,1.4964035107873586
entropic_clustering,3,96,7.56751793545229,0.4,1.8344548737994655
entropic_clustering,4,185,3.615298144714464,0.3,1.0038887134331853
entropic_clustering,5,494,0.07885665645180452,0.35,0.9937728416188942
entropic_clustering,6,56,5.284523217809784,0.4,2.874973969017232
entropic_clustering,7,85,2.6287452590540528,0.26666666666666666,1.201596856626718
entropic_clustering,8,72,9.81603372471419,0.3333333333333333,3.4896603647519835
entropic_clustering,weighted_average,1487,3.483328805814626,0.3294328625868639,1.3570432768035554
entropic_clustering_split,0,652,1.7975999124567748,0.43333333333333335,2.611134451974805
entropic_clustering_split,1,452,3.370086657963626,0.4,3.2258582574804793
entropic_clustering_split,2,253,7.568447841741806,0.35,1.4771614461651565
entropic_clustering_split,3,78,6.52767537732761,0.3,1.6304450222710427
entropic_clustering_split,4,23,13.933603948662961,0.4,2.755458816397481
entropic_clustering_split,5,10,9.77735688743121,0.36666666666666664,3.6715438756248044
entropic_clustering_split,6,12,12.13688243068336,0.35,2.5244715455821383
entropic_clustering_split,7,4,18.188406549541348,0.4,3.3155366100877033
entropic_clustering_split,8,3,23.14943417444547,0.4,2.7942432453527557
entropic_clustering_split,weighted_average,1487,3.9175395247457088,0.4002353732347008,2.5645418150251924
frequency_based,0,131,5.235592430933912,0.3333333333333333,2.386850602555423
frequency_based,1,38,9.783997901084232,0.45,2.626646290459658
frequency_based,2,407,2.871429800454733,0.3,1.1676716816334454
frequency_based,3,519,0.6189930160686447,0.4,0.5763920704472261
frequency_based,4,250,7.200890472568415,0.36666666666666664,1.5820111139524593
frequency_based,5,52,5.833919187803843,0.45,3.336893016824782
frequency_based,6,1,0.0,0.3333333333333333,0.0
frequency_based,7,84,11.294467660410785,0.45,2.382551322652407
frequency_based,8,5,3.6231755802226773,0.4,3.0716621828282062
frequency_based,weighted_average,1487,3.77809106261047,0.3669580811477247,1.3257523095757207
random_clustering,0,35,10.770313814810066,0.4,3.685394126693893
random_clustering,1,236,6.121340927541937,0.36666666666666664,1.9742890085067077
random_clustering,2,261,3.903117167194493,0.36666666666666664,2.241978128412826
random_clustering,3,175,5.800080968218302,0.36666666666666664,2.6652016838888217
random_clustering,4,107,6.580998695754975,0.36666666666666664,2.3852077460307783
random_clustering,5,510,1.0165615764064901,0.45,1.5798378593785185
random_clustering,6,75,8.604467530607165,0.45,2.8030536488678197
random_clustering,7,68,9.399582340866106,0.36666666666666664,2.4199988274891213
random_clustering,8,20,10.902779831992051,0.45,3.3143196745572236
random_clustering,weighted_average,1487,4.425353542381695,0.4013561981618471,2.117348662523194
