method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,7554,10.727563930774872,0.5333333333333333,3.6675129573786633
entropic_clustering,0,838,15.507967345707474,0.6,3.594571441931613
entropic_clustering,1,637,5.381046290449284,0.43333333333333335,3.225240186518727
entropic_clustering,2,811,15.472640772753932,0.5,4.049784969830619
entropic_clustering,3,1898,2.129079869464654,0.4,1.0139088602786672
entropic_clustering,4,666,5.701102401856251,0.6,3.118487329258194
entropic_clustering,5,890,13.930754748746592,0.4,2.357753070223722
entropic_clustering,6,568,12.365757398453415,0.6,2.581570775829155
entropic_clustering,7,523,5.72787525088971,0.65,3.4721799251041348
entropic_clustering,8,723,11.579193708839837,0.5,2.453989855702364
entropic_clustering,weighted_average,7554,8.948795382276305,0.4952850586885535,2.582384598285804
entropic_clustering_split,0,1925,2.220987928399423,0.65,2.4303905310499125
entropic_clustering_split,1,1708,6.845861252175595,0.4666666666666667,3.912192605201511
entropic_clustering_split,2,1622,13.139729252045395,0.6,3.9432568289680416
entropic_clustering_split,3,898,13.611843017036836,0.6,3.2389887239967794
entropic_clustering_split,4,699,14.239022406129706,0.5,2.338785962680711
entropic_clustering_split,5,433,11.752705080996877,0.35,2.073525350778203
entropic_clustering_split,6,172,21.554375238239484,0.4,3.0674421324355094
entropic_clustering_split,7,37,18.628444586717944,0.45,2.514941503605939
entropic_clustering_split,8,60,24.24789317827962,0.55,3.8563429250694083
entropic_clustering_split,weighted_average,7554,9.319259359324908,0.5533249492542582,3.183714921287769
frequency_based,0,342,22.97915384615071,0.6,3.3124837496799606
frequency_based,1,216,17.419488534935994,0.6,4.1300861592611735
frequency_based,2,975,5.506916422589119,0.4666666666666667,3.296088864366354
frequency_based,3,3568,6.0698711584669285,0.55,2.600115782604101
frequency_based,4,440,20.978500446652,0.65,3.608354565119056
frequency_based,5,574,13.14630850328758,0.4666666666666667,2.764251418801542
frequency_based,6,559,14.82411593174568,0.43333333333333335,3.5174374091577794
frequency_based,7,610,11.970707457223272,0.6,4.132241404514825
frequency_based,8,270,7.690277915172464,0.65,3.7687467677553657
frequency_based,weighted_average,7554,9.675633123328918,0.5414085252846175,3.0705190000915072
random_clustering,0,836,11.714972827069394,0.7,3.575596761223358
random_clustering,1,660,13.108100725556952,0.4666666666666667,3.2601517445009995
random_clustering,2,2154,5.745620903707614,0.5,3.013015271960276
random_clustering,3,1055,8.845308759567223,0.65,3.5021084662067006
random_clustering,4,801,11.409681399886137,0.65,3.9128959676850132
random_clustering,5,558,14.160179251016563,0.65,3.951372056063989
random_clustering,6,508,13.546963326868115,0.43333333333333335,3.8751995957080414
random_clustering,7,387,15.988964824757483,0.65,3.8809764473799415
random_clustering,8,595,13.421346977759788,0.65,3.724573506824515
random_clustering,weighted_average,7554,10.35858551265561,0.5821728002824111,3.4884053700184805
