method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,100000,3.4503908320667636,0.41578947368421054,18.223095414545302
entropic_clustering,0,13983,3.9731711535242855,0.42105263157894735,23.71469339522122
entropic_clustering,1,39975,1.409062559095734,0.2647058823529412,9.173234718660293
entropic_clustering,2,22400,0.6896643963646077,0.17973856209150327,7.920957633341566
entropic_clustering,3,23642,0.6488619636815707,0.20175438596491227,13.993731682154117
entropic_clustering,weighted_average,100000,1.4267300506350895,0.25265217578259375,12.065718710401624
entropic_clustering_split,0,25762,1.2334739056161628,0.24836601307189543,13.94623512791576
entropic_clustering_split,1,26941,1.5168655630350378,0.2581699346405229,13.337533548324537
entropic_clustering_split,2,34530,0.4969208291991543,0.42810457516339867,15.971770113106762
entropic_clustering_split,3,12767,4.648736589396997,0.2657894736842105,16.192625354443503
entropic_clustering_split,weighted_average,100000,1.491517261592888,0.31529546628826965,14.768458705965338
frequency_based,0,2293,7.4639665522181975,0.2894736842105263,13.902972719927519
frequency_based,1,3815,6.085971510761842,0.3,16.467152618321254
frequency_based,2,60991,2.0128101949528725,0.27485380116959063,12.477921529783686
frequency_based,3,32901,1.6111037286046643,0.24761904761904763,9.985850064760525
frequency_based,weighted_average,100000,2.1610308699298546,0.26718785630743525,11.842870686894122
random_clustering,0,2363,9.082444102764745,0.3538011695906433,17.511550593957637
random_clustering,1,13054,4.9516465876770654,0.33157894736842103,19.4487681913885
random_clustering,2,28501,1.8080580944684495,0.34210526315789475,20.401219357710712
random_clustering,3,56082,1.4162551486100676,0.3508771929824561,17.58351929434511
random_clustering,weighted_average,100000,2.1705849496516456,0.34592700584795316,18.62838096003483
