method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy,ER_sum
full_log,0,13087,0.99940675227727,0.1500177824411657,-999.0,-999.0,0.6000000000000001,19.599280524697782,0.2107692307692307,34.25864064384922,256495.78422671987
trace2vec_based,1,1124,0.8817161129348043,0.6487946407510496,-999.0,-999.0,0.65625,33.16821125600855,0.1492307692307692,26.52079421046429,37281.0694517536
trace2vec_based,2,3000,0.983857215795724,0.4654167900317655,-999.0,-999.0,0.6969696969696969,26.36743642731164,0.2026143790849673,17.30719751100095,79102.30928193493
trace2vec_based,3,1276,0.9570786517526142,0.8923816644858454,-999.0,-999.0,0.6923076923076922,33.21928094887421,0.1757246376811594,27.24018368749961,42387.80249076349
trace2vec_based,4,7687,0.9818056630901606,0.4866889586922012,-999.0,-999.0,0.6842105263157894,10.975322388040023,0.1633333333333333,22.583937790771504,84367.30319686368
trace2vec_based,average,13087,0.9712686673902567,0.5352909433522095,-999.0,-999.0,0.6855234218753862,18.57862645536148,0.172334873759057,22.16643764105408,243138.4844213157
entropic_clustering_++,1,8491,0.9992885045789068,0.1355806070824676,-999.0,-999.0,0.6000000000000001,20.19965261937528,0.2061538461538461,32.02621112777666,171515.2503911155
entropic_clustering_++,2,1361,0.940404709559722,0.858786610878661,-999.0,-999.0,0.6862745098039215,16.680691945793516,0.0889328063241106,12.603103211698318,22702.421738224977
entropic_clustering_++,3,2246,0.9974786889182374,0.8164217401446233,-999.0,-999.0,0.7313432835820896,6.796737158656841,0.1198830409356725,9.864477809469898,15265.471658343264
entropic_clustering_++,4,989,0.994645328309553,0.913049848002051,-999.0,-999.0,0.7142857142857143,10.46624770297854,0.0968379446640316,13.744352288172465,10351.118978245777
entropic_clustering_++,average,13087,0.9925033137540146,0.3863920715352597,-999.0,-999.0,0.6401501638417575,16.79791111529988,0.1708963012389142,24.821285529926264,219834.2627659295
entropic_clustering_++_norm,1,8336,0.99928128960627,0.1352645330799061,-999.0,-999.0,0.6000000000000001,20.06886174476808,0.2061538461538461,32.18034522188299,167294.0315043867
entropic_clustering_++_norm,2,1308,0.9453742417990492,0.687365346866472,-999.0,-999.0,0.7499999999999999,16.671937880973122,0.0909090909090909,11.40708200050708,21806.894748312843
entropic_clustering_++_norm,3,2267,0.9961423397890096,0.8098973516368969,-999.0,-999.0,0.782608695652174,7.0417438197542905,0.0849802371541501,8.424557158603607,15963.633239382976
entropic_clustering_++_norm,4,1176,0.9912941022452052,0.8257972265688232,-999.0,-999.0,0.731958762886598,13.261428939120425,0.0833333333333333,11.701807229004464,15595.44043240562
entropic_clustering_++_norm,average,13087,0.9926319925860068,0.3693599645496465,-999.0,-999.0,0.6584822662335231,16.861007100518695,0.1626085237316429,24.1488207691712,220659.9999244881
entropic_clustering_randominit,1,5574,0.9543737571633646,0.5005559938738571,-999.0,-999.0,0.6603773584905661,30.475315639012504,0.2046153846153846,33.44265631195236,169869.4093718557
entropic_clustering_randominit,2,1369,0.9406683001385844,0.8594602395728099,-999.0,-999.0,0.7083333333333334,16.70654083984948,0.1111111111111111,10.657031148778035,22871.25440975394
entropic_clustering_randominit,3,3866,0.9676135889374252,0.714715029527903,-999.0,-999.0,0.7142857142857143,3.012336770446041,0.0849802371541501,10.55170202540204,11645.693954544395
entropic_clustering_randominit,4,2278,0.9972457803272716,0.9498809242850094,-999.0,-999.0,0.7087378640776699,7.030809144348549,0.093073593073593,8.553465070430839,16016.183230825995
entropic_clustering_randominit,average,13087,0.9643137653958836,0.6795764672961092,-999.0,-999.0,0.6897367735430009,16.84133422228013,0.1400773673734893,19.96458434982389,220402.54096698004
entropic_clustering_split_++,1,3558,0.9833414428026326,0.7783657603988423,-999.0,-999.0,0.7435897435897437,9.292742651548176,0.1050724637681159,14.765393510360507,33063.57835420841
entropic_clustering_split_++,2,3951,0.98571000027271,0.8165677813736066,-999.0,-999.0,0.7464788732394366,3.8530557245679127,0.1228070175438596,10.624941141770082,15223.423167767824
entropic_clustering_split_++,3,5232,0.9388933260993536,0.5340355211611219,-999.0,-999.0,0.6666666666666666,32.52909712021511,0.2061538461538461,32.66571399147416,170192.23613296548
entropic_clustering_split_++,4,346,0.9600297444799912,0.6774496415158757,-999.0,-999.0,0.7499999999999999,12.704932602320364,0.0988142292490118,13.684520086280664,4395.906680402846
entropic_clustering_split_++,average,13087,0.9656704545206036,0.6895511654608147,-999.0,-999.0,0.7138786838741745,17.03027006459422,0.1506720408649673,20.64310171271049,222875.14433534455
entropic_clustering_split_++_norm,1,4335,0.984874378339274,0.4622998853045212,-999.0,-999.0,0.7083333333333334,5.0367699597968025,0.0952380952380952,11.809082437196482,21834.39777571914
entropic_clustering_split_++_norm,2,2379,0.9860700124218996,0.9505007506118,-999.0,-999.0,0.7391304347826086,8.232820661770676,0.1541666666666666,8.617421785328228,19585.880354352437
entropic_clustering_split_++_norm,3,5333,0.9376172588858392,0.5475212343676641,-999.0,-999.0,0.673202614379085,31.5952823077889,0.2046153846153846,32.92465810318504,168497.6405474382
entropic_clustering_split_++_norm,4,1040,0.9764749395251436,0.9195435194791256,-999.0,-999.0,0.7043478260869565,11.82124317146433,0.1047430830039525,14.0220811603392,12294.092898322902
entropic_clustering_split_++_norm,average,13087,0.9651667890575978,0.6221110484940486,-999.0,-999.0,0.6992991201927042,16.979598958954128,0.151277320649125,20.00942804795455,222212.01157583267
entropic_clustering_split_randominit,1,4335,0.9801146216203216,0.7594782658496078,-999.0,-999.0,0.7241379310344828,5.037434529269494,0.1416666666666666,7.649422924401157,21837.27868438326
entropic_clustering_split_randominit,2,1538,0.9834678771309932,0.7858131342782857,-999.0,-999.0,0.7407407407407407,13.068449908729526,0.0887681159420289,12.379748140191651,20099.27595962601
entropic_clustering_split_randominit,3,4971,0.9475268240585492,0.4904554366460755,-999.0,-999.0,0.6774193548387096,32.296204009707566,0.2046153846153846,32.18189194472264,160544.43013225633
entropic_clustering_split_randominit,4,2243,0.9847346121910197,0.5478636539089641,-999.0,-999.0,0.7142857142857143,8.403595393699689,0.0948616600790513,12.751039209498996,18849.264468068402
entropic_clustering_split_randominit,average,13087,0.968922293672428,0.6241179058809124,-999.0,-999.0,0.7066548223687495,16.9122219946767,0.1513385911820302,18.39818650729856,221330.249244334
