method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy,ER_sum
full_log,0,1487,0.996751018166842,0.9713255291474518,0.990412853232678,0.9713255291474518,0.7499999999999999,5.047055138213625,0.5,3.916076623591223,7504.9709905236605
trace2vec_based,1,184,0.9970457902511078,0.9076891864475553,0.9933525662873754,0.9076891864475553,0.7777777777777779,6.932067152897821,0.5,2.336316547932975,1275.500356133199
trace2vec_based,2,129,0.9959721713658,0.8908031416265518,0.9854265297037924,0.8908031416265518,0.7777777777777779,8.019218565289277,0.45,2.6199002817973143,1034.4791949223168
trace2vec_based,3,692,0.98992700729927,0.969156626506024,0.9640179201040336,0.969156626506024,0.7931034482758622,2.7889628367909376,0.45,2.291847433457217,1929.9622830593287
trace2vec_based,4,302,0.996078431372549,0.9362595419847328,0.9862094920560104,0.9372968839610016,0.7499999999999999,4.633236965515224,0.4,3.293616908181172,1399.2375635855974
trace2vec_based,5,180,0.9964836353800378,0.9107114435779088,0.9889482967628552,0.9107114435779088,0.7499999999999999,7.63914858151082,0.4666666666666667,3.792778774481172,1375.0467446719476
trace2vec_based,average,1487,0.993375296036586,0.9409974731955324,0.9770297614383904,0.9412081505841224,0.775905871318992,4.71703170300766,0.4480497646267653,2.710948413450733,7014.226142372389
entropic_clustering_++,1,215,0.9917330971361088,0.7254866290704021,0.958837961829386,0.7254866290704021,0.7647058823529413,5.106514342720489,0.3666666666666666,2.258868089351163,1097.900583684905
entropic_clustering_++,2,496,0.9994266055045872,0.99601593625498,0.9983957965265644,0.997005988023952,0.8,0.1267120337102622,0.35,0.1253238959168464,62.849168720290066
entropic_clustering_++,3,256,0.9929915160457397,0.9922715981231024,0.9837792651933056,0.9922715981231024,0.7499999999999999,3.0308920397326435,0.4,2.428025460229905,775.9083621715567
entropic_clustering_++,4,351,0.9988272546030256,0.8193770075446328,0.9959998058579528,0.8193770075446328,0.7647058823529413,8.095992385556778,0.3666666666666666,1.9413026344124589,2841.693327330429
entropic_clustering_++,5,169,0.9996125532739248,0.9252472367655614,0.9956368601398632,0.927320490367776,0.7499999999999999,5.392157351913564,0.4,3.319983317661436,911.2745924733923
entropic_clustering_++,average,1487,0.9970860310633513,0.9065186088861245,0.9892807868054866,0.9070844767651992,0.7722754064638634,3.826244811284852,0.3706343869087648,1.6219678646722708,5689.626034380573
entropic_clustering_++_norm,1,365,0.9983631601920558,0.8142638676491033,0.9937927890572126,0.8142638676491033,0.7647058823529413,8.599358059771227,0.3666666666666666,2.123277604694367,3138.7656918164976
entropic_clustering_++_norm,2,162,0.9888044782087164,0.9213960546282246,0.9699426306222152,0.9213960546282246,0.7647058823529413,4.952032630476069,0.4,3.1787154031855738,802.2292861371232
entropic_clustering_++_norm,3,207,0.9973217274857716,0.6940620505444832,0.9925192058018752,0.6940620505444832,0.7647058823529413,3.991375532117022,0.3666666666666666,2.003606729843015,826.2147351482236
entropic_clustering_++_norm,4,258,0.9874506991753316,0.7540192926045016,0.9687485714326152,0.7540192926045016,0.7499999999999999,3.195508919348037,0.3666666666666666,2.57923463593792,824.4413011917935
entropic_clustering_++_norm,5,495,1.0,0.855628759667717,0.99990011066369,0.855628759667717,0.8,0.0954278924410076,0.2666666666666666,0.0948312359319899,47.23680675829878
entropic_clustering_++_norm,average,1487,0.9958283503138552,0.8125195228862706,0.9887049334067324,0.8125195228862706,0.7739032398433484,3.792123618730287,0.3370096390943735,1.6254733099968588,5638.887821051936
entropic_clustering_randominit,1,359,0.9981016192071468,0.8147646219686162,0.9928203667863544,0.8147646219686162,0.7647058823529413,8.561024131549171,0.3666666666666666,2.151103352886852,3073.4076632261526
entropic_clustering_randominit,2,495,1.0,0.855628759667717,0.9998750910951428,0.855628759667717,0.7931034482758622,0.084015252054694,0.3,1.0796195476825234,41.58754976707354
entropic_clustering_randominit,3,160,0.989010989010989,0.8965303593556382,0.9703407262825432,0.8965303593556382,0.7647058823529413,4.864628713287423,0.4,3.150775127266409,778.3405941259876
entropic_clustering_randominit,4,261,0.9886201991465148,0.9899524061343205,0.973182923140218,0.9899524061343205,0.7499999999999999,3.29554910700973,0.4,2.6043951618993404,860.1383169295394
entropic_clustering_randominit,5,212,1.0,0.6922917958255839,0.9999096933144428,0.6922917958255839,0.7777777777777779,4.221068721441646,0.3,1.948331022161088,894.8665689456288
entropic_clustering_randominit,average,1487,0.9963618772793305,0.8504539553027818,0.9903139178855836,0.8504539553027818,0.7734414584577117,3.798480627434016,0.3444070836135395,1.95263961943896,5648.340692994381
entropic_clustering_split_++,1,662,0.9952110146662676,0.9616764748098175,0.9838057046698868,0.9627284501367104,0.7499999999999999,2.203905341053632,0.4333333333333333,2.9457890302234224,1458.985335777504
