method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,ER,tade_fitness,graph_density,graph_entropy
full_log,0,561470.0,0.9288043243276407,0.8127643151921125,0.8783597869698797,0.8127643151921125,2.9377256025815264,1.872845030380583e-07,0.5,11.42773673423794
entropic_clustering,0,192322.0,0.7040085437565409,0.8042506345989402,0.6359105717945901,0.8042506345989402,2.2185642834935115,1.8575320535529902e-07,0.4807692307692308,12.519678556201013
entropic_clustering,1,369148.0,0.9652966063154333,0.7536204295821028,0.9684584790916557,0.7537021144855143,1.2021084572362286,1.8376137702286075e-07,0.41025641025641024,7.737118578757707
entropic_clustering,weighted_average,,0.8757968240163767,0.7709629452806231,0.8545498488403757,0.7710166504095249,1.5502781144172948,1.84443643944604e-07,0.434409377764321,9.375303165613374
entropic_clustering_split,0,369148.0,0.9652966063154333,0.7536204295821028,0.9684584790916557,0.7537021144855143,1.2021084572362286,1.8376137702286075e-07,0.41025641025641024,7.737118578757707
entropic_clustering_split,1,192322.0,0.7040085437565409,0.8042506345989402,0.6359105717945901,0.8042506345989402,2.2185642834935115,1.8575320535529902e-07,0.4807692307692308,12.519678556201013
entropic_clustering_split,weighted_average,,0.8757968240163767,0.7709629452806231,0.8545498488403757,0.7710166504095249,1.5502781144172948,1.84443643944604e-07,0.434409377764321,9.375303165613374
frequency_based,0,209754.0,0.985319456274788,0.9911371948958362,0.9768980060173313,0.9911371948958362,2.3264145746796125,1.842613546236673e-07,0.3076923076923077,8.822996855602042
frequency_based,1,351716.0,0.9851326160793605,0.8171926947563217,0.9802832604400277,0.8171926947563217,1.5773748365637281,1.970510892530601e-07,0.4935897435897436,9.590154659447379
frequency_based,weighted_average,,0.985202415852014,0.8821748927050345,0.979018596867302,0.8821748927050345,1.8572011518232419,1.922730993382763e-07,0.4241421671043913,9.303559795985796
random_clustering,0,435311.0,0.9914798585425972,0.8322280840673923,0.989902277128317,0.8322280840673923,2.3057888954015353,2.0867941349392596e-07,0.46794871794871795,11.2607558566948
random_clustering,1,126159.0,0.9870265376912462,0.705258173047802,0.9793365514756278,0.705258173047802,1.2324186112692308,2.2471965258162364e-07,0.4423076923076923,10.380760218572181
random_clustering,weighted_average,,0.9904792235927592,0.8036986933531592,0.9875282208428207,0.8036986933531592,2.064608918419956,2.1228356068445235e-07,0.4621873306014935,11.063026023026195
trace2vec_based,0,70889.0,0.9117708120626576,0.620702977783361,0.9382725674880101,0.620702977783361,1.7829372475088456,1.882343252866713e-07,0.4935897435897436,11.837620806050436
trace2vec_based,1,490581.0,1.0,0.8563026589342378,0.9999278861130485,0.8563026589342378,2.28331204063895,6.329310752038804e-07,0.30357142857142855,3.137348753569035
trace2vec_based,weighted_average,,0.9888605287839239,0.8265567672621904,0.9921435274082017,0.8265567672621904,2.2201366818304655,5.767854077508e-07,0.3275623957350052,4.23581097867163
