method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,ER,tade_fitness,graph_density,graph_entropy
full_log,0,6660.0,0.9967510181668421,0.9713255291474518,0.9904128532326781,0.9713255291474518,5.065971885004094,4.479030607052624e-08,0.5,3.9160766235912225
entropic_clustering,0,1159.0,0.9974167623421355,0.9224598930481284,0.9931282483384642,0.9224598930481284,4.241790300136623,1.4192222323395535e-07,0.4666666666666667,3.1635532868532454
entropic_clustering,1,3107.0,0.9978463747307968,0.8420638562905658,0.9921337156100332,0.8420638562905658,8.718924273616983,3.358605207194373e-08,0.36666666666666664,2.307548107250897
entropic_clustering,2,1437.0,0.9789719626168224,0.8501716527709662,0.955247480635533,0.8501716527709662,1.075140029652437,1.2064927420879383e-07,0.45,1.4270761313699836
entropic_clustering,3,957.0,0.9866894197952218,0.6724715338245144,0.9616086675938281,0.6711590296495957,3.498345616442453,5.475126276829708e-08,0.36666666666666664,3.6176799319509403
entropic_clustering,weighted_average,,0.9920959758059342,0.8334347358017278,0.9799617445623435,0.8332461372288453,5.5403642122420855,7.426571862206914e-08,0.4020495495495496,2.4547955441962714
entropic_clustering_split,0,1314.0,0.9883841526654221,0.9837167226673559,0.9724686487752541,0.983933661570355,1.2485612391296599,9.656637277872496e-08,0.43333333333333335,2.4994971027347597
entropic_clustering_split,1,1870.0,0.996017378711079,0.9946725164525227,0.9890787369114156,0.9956043956043956,3.406798031727459,6.992093582087949e-08,0.4,3.2354027102523615
entropic_clustering_split,2,565.0,0.9955654101995566,0.8378484491558696,0.9881493176355796,0.8378484491558696,4.492779207669043,5.988622053330831e-06,0.36666666666666664,2.0614795625989273
entropic_clustering_split,3,2911.0,0.9980701555227608,0.9485932840658629,0.99298981793372,0.9485932840658629,8.76982880750764,1.6180818002363178e-06,0.36666666666666664,2.285051588256945
entropic_clustering_split,weighted_average,,0.9953702634056439,0.95906618664263,0.9874322472949237,0.9593706418577266,5.41722427905923,1.2539711628282476e-06,0.3891791791791792,2.575234742860323
frequency_based,0,2628.0,0.9649174966552698,0.9639230358097274,0.9231759952623589,0.9646680942184154,6.195512222419247,6.617173004127497e-08,0.4,2.587008058832502
frequency_based,1,576.0,0.9987341772151899,0.8444816053511706,0.9971882990230548,0.8444816053511706,7.590795822663081,7.601885184059283e-08,0.45,3.3081664748924995
frequency_based,2,1903.0,0.9922249793217535,0.9948427024239299,0.9818437680766002,0.9948427024239299,1.657943427283979,9.193633168531569e-08,0.43333333333333335,2.2457675235497363
frequency_based,3,1553.0,0.9977394163584052,0.8250976168035546,0.9932676056452008,0.8250976168035546,8.002259001633341,3.799549710650599e-08,0.36666666666666664,2.392286739953897
frequency_based,weighted_average,,0.9832984259068915,0.930056066726561,0.962684723423953,0.9303500627472865,5.440942805710166,6.781501672856031e-08,0.4060760760760761,2.506468164056073
random_clustering,0,2670.0,0.9984777644884202,0.9445039640025712,0.9947085694929113,0.9445039640025712,5.500486121588272,1.2652871102284293e-07,0.43333333333333335,1.972959847586177
random_clustering,1,870.0,0.9949922958397535,0.8830622546270331,0.9805635192653066,0.8883219954648526,7.728205386002872,9.248197218379809e-08,0.43333333333333335,4.680742282434108
random_clustering,2,1889.0,0.9977460555972952,0.9295423023578363,0.9918679400980831,0.9310968819599109,2.9684216303054773,6.687097931660323e-08,0.4,3.0458536126705753
random_clustering,3,1231.0,0.9949152542372881,0.7983108108108108,0.9854253439160493,0.7983108108108108,6.4319317305706765,1.4968849538813557e-06,0.36666666666666664,2.5012042938102104
random_clustering,weighted_average,,0.9971564422753842,0.9052125769781448,0.990339231158082,0.9063405913020521,5.2454794370034135,3.58449794652839e-07,0.41155655655655654,2.728625906724903
trace2vec_based,0,1158.0,0.9983122362869198,0.8601977002219084,0.9906437149630236,0.8645450836393309,7.24859515613919,4.463267318348093e-08,0.4,3.18165522692994
trace2vec_based,1,2850.0,0.9966194802450877,0.8431443798449613,0.9906186644493445,0.8431443798449613,2.255799658566634,8.652138061064692e-08,0.4,1.281162761927704
trace2vec_based,2,1404.0,0.995629169542213,0.901775956284153,0.9861449313498949,0.901775956284153,7.443175138372957,6.932175232780416e-08,0.4,2.1509850576725698
trace2vec_based,3,1248.0,0.9979757085020243,0.8531095001907669,0.9946711111734464,0.8531095001907669,9.974394838314392,3.612931409593185e-08,0.45,3.266622086278951
trace2vec_based,weighted_average,,0.9969591781631452,0.8603370147561769,0.9904392861813103,0.861092911152179,5.663838569101514,6.616932350552171e-08,0.4093693693693694,2.167026728067154
