method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,1487,5.047055138213625,0.5,3.9160766235912225
entropic_clustering,0,344,7.92791349365914,0.45,1.8191127124769966
entropic_clustering,1,246,2.5434031398904646,0.4,1.3735421557970786
entropic_clustering,2,495,0.08403873283766039,0.3,1.079357059628541
entropic_clustering,3,214,4.43577913620673,0.36666666666666664,2.1491519100516583
entropic_clustering,4,188,6.804490479798724,0.36666666666666664,3.5888469924319453
entropic_clustering,weighted_average,1487,3.781425374806215,0.3692669804976463,1.7703897991005761
entropic_clustering_split,0,649,1.692673141720261,0.43333333333333335,2.5123074290610847
entropic_clustering_split,1,446,3.3394999360850326,0.36666666666666664,3.1760440095999543
entropic_clustering_split,2,245,7.584965293113277,0.35,1.4747170754237005
entropic_clustering_split,3,58,13.374307823965639,0.36666666666666664,4.159684561298052
entropic_clustering_split,4,89,7.163590709739534,0.3,1.7250289589617716
entropic_clustering_split,weighted_average,1487,3.9405163175789863,0.38902712396323696,2.5575643006885778
frequency_based,0,426,6.181790286736633,0.4,2.587008058832502
frequency_based,1,765,1.6636491429282694,0.4,2.190764916465028
frequency_based,2,211,7.9605210791663605,0.36666666666666664,2.386656420324908
frequency_based,3,1,0.0,0.3333333333333333,0.0
frequency_based,4,84,7.590795822663081,0.45,3.3081664748924995
frequency_based,weighted_average,1487,4.1852259941477685,0.3980497646267653,2.393726350193623
random_clustering,0,187,7.579691154228673,0.36666666666666664,2.18125950057962
random_clustering,1,168,8.050157516327378,0.4,3.9198603777691594
random_clustering,2,228,6.232405125782452,0.4,2.5430656232697295
random_clustering,3,779,2.3285448518650806,0.43333333333333335,2.863928714703557
random_clustering,4,125,8.130872773758059,0.4,3.6125701226409714
random_clustering,weighted_average,1487,4.721662820164637,0.4132705671374131,2.9111114769759907
