method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,1050,24.44367193092122,0.4411764705882353,23.580491308820598
entropic_clustering,0,321,30.540965168345725,0.3954248366013072,24.318642020447136
entropic_clustering,1,139,16.25787128163999,0.3161764705882353,19.18664338264825
entropic_clustering,2,97,13.898338440505876,0.24183006535947713,16.302516148322365
entropic_clustering,3,103,11.947319285903774,0.20220588235294118,10.16121076871291
entropic_clustering,4,102,17.17637154868778,0.25833333333333336,15.171417680231952
entropic_clustering,5,116,18.992091313265544,0.31666666666666665,17.456206709516405
entropic_clustering,6,172,18.54226463256383,0.23529411764705882,14.062451754886325
entropic_clustering,weighted_average,1050,20.74909395187622,0.30354147214441335,18.18316435985176
entropic_clustering_split,0,299,16.5314218822691,0.3006535947712418,19.66769420694499
entropic_clustering_split,1,250,18.62892035624911,0.2973856209150327,18.11638756213589
entropic_clustering_split,2,128,22.634996789766536,0.35,18.293452535273353
entropic_clustering_split,3,76,13.91620902886585,0.2125,10.67116062217697
entropic_clustering_split,4,42,17.05045992605986,0.2375,16.015133466416632
entropic_clustering_split,5,213,33.192956122070214,0.39215686274509803,24.247961215890854
entropic_clustering_split,6,42,29.9418074816358,0.27205882352941174,17.096942078782714
entropic_clustering_split,weighted_average,1050,21.522677706922696,0.3144025832555244,19.15983857342294
frequency_based,0,164,30.981231311169385,0.3431372549019608,19.80141024617378
frequency_based,1,92,32.83293943378016,0.36764705882352944,21.284981541134414
frequency_based,2,91,19.54362530279419,0.38571428571428573,19.42866344212464
frequency_based,3,149,7.935323497069712,0.2571428571428571,12.232758622717247
frequency_based,4,215,24.635664355399342,0.3602941176470588,20.262614449662944
frequency_based,5,197,26.25392899130827,0.34191176470588236,20.178016552146225
frequency_based,6,142,14.050567935023334,0.5075757575757576,15.201918237407662
frequency_based,weighted_average,1050,22.40595996288487,0.36229327185419624,18.368135949845055
random_clustering,0,134,27.063632176447683,0.34967320261437906,22.5351190993635
random_clustering,1,141,24.83779759706974,0.3786764705882353,20.98320334844607
random_clustering,2,201,19.39697433863399,0.32679738562091504,21.07919981113256
random_clustering,3,149,25.477586691237168,0.3713235294117647,22.13690972804932
random_clustering,4,129,26.845161881675832,0.3464052287581699,21.747690878306738
random_clustering,5,125,26.81787998128352,0.3860294117647059,22.06484046752168
random_clustering,6,171,20.408637722493605,0.3639705882352941,21.487313768781345
random_clustering,weighted_average,1050,23.932139393174875,0.3585161842514784,21.66813731349142
