method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy
full_log,0,6660,0.996751018166842,0.9713255291474518,0.990412853232678,0.9713255291474518,0.7499999999999999,5.047055138213625,0.5,3.916076623591223
trace2vec_based,1,1167,0.9970457902511078,0.9076891864475553,0.9933525662873754,0.9076891864475553,0.7777777777777779,6.932067152897821,0.5,2.336316547932975
trace2vec_based,2,920,0.9959721713658,0.8908031416265518,0.9854265297037924,0.8908031416265518,0.7777777777777779,8.019218565289277,0.45,2.6199002817973143
trace2vec_based,3,2073,0.98992700729927,0.969156626506024,0.9640179201040336,0.969156626506024,0.7931034482758622,2.7889628367909376,0.45,2.291847433457217
trace2vec_based,4,1301,0.996078431372549,0.9362595419847328,0.9862094920560104,0.9372968839610016,0.7499999999999999,4.633236965515224,0.4,3.2936169081811717
trace2vec_based,5,1199,0.9964836353800378,0.9107114435779088,0.9889482967628552,0.9107114435779088,0.7499999999999999,7.63914858151082,0.4666666666666667,3.792778774481172
trace2vec_based,average,6660,0.994391507364462,0.93061419558555,0.9809386723039116,0.9308168355121454,0.772120971546259,5.470886463893737,0.4519944944944944,2.8108598721313443
entropic_clustering_++,1,1275,0.9917330971361088,0.7254866290704021,0.958837961829386,0.7254866290704021,0.7647058823529413,5.106514342720489,0.3666666666666666,2.258868089351163
entropic_clustering_++,2,1002,0.9994266055045872,0.99601593625498,0.9983957965265644,0.997005988023952,0.8,0.1267120337102622,0.35,0.1253238959168464
entropic_clustering_++,3,854,0.9922606924643584,0.9922715981231024,0.9837977006701694,0.9922715981231024,0.7333333333333333,3.0308920397326435,0.4,2.428025460229905
entropic_clustering_++,4,2685,0.9988272546030256,0.8193770075446328,0.9959998058579528,0.8193770075446328,0.7647058823529413,8.095992385556778,0.3666666666666666,1.9413026344124589
entropic_clustering_++,5,844,0.9996125532739248,0.9252472367655614,0.9956368601398632,0.927320490367776,0.7499999999999999,5.392157351913564,0.4,3.319983317661436
entropic_clustering_++,average,6660,0.9968168111863384,0.8635644591706989,0.9876353174941528,0.8639761495479931,0.7641294235411882,5.332563574611559,0.3726576576576576,1.966010299425144
entropic_clustering_++_norm,1,2909,0.9983631601920558,0.8142638676491033,0.9937927890572126,0.8142638676491033,0.7647058823529413,8.599358059771227,0.3666666666666666,2.123277604694367
entropic_clustering_++_norm,2,779,0.9888044782087164,0.9213960546282246,0.9699426306222152,0.9213960546282246,0.7647058823529413,4.952032630476069,0.4,3.1787154031855738
entropic_clustering_++_norm,3,1079,0.9973217274857716,0.6940620505444832,0.9925192058018752,0.6940620505444832,0.7647058823529413,3.991375532117022,0.3666666666666666,2.003606729843015
entropic_clustering_++_norm,4,897,0.9861714737258,0.7540192926045016,0.968766258543608,0.7540192926045016,0.7333333333333333,3.195508919348037,0.3666666666666666,2.57923463593792
entropic_clustering_++_norm,5,996,1.0,0.855628759667717,0.99990011066369,0.855628759667717,0.8,0.0954278924410076,0.2666666666666666,0.0948312359319899
entropic_clustering_++_norm,average,6660,0.9956791407526232,0.8053927357626742,0.988339429401954,0.8053927357626742,0.765758699876347,5.426618302657065,0.3556106106106105,1.985398031841241
entropic_clustering_randominit,1,2844,0.9981016192071468,0.8147646219686162,0.9928203667863544,0.8147646219686162,0.7647058823529413,8.561024131549171,0.3666666666666666,2.151103352886852
entropic_clustering_randominit,2,996,1.0,0.855628759667717,0.9998750910951428,0.855628759667717,0.7931034482758622,0.084015252054694,0.3,1.0796195476825234
entropic_clustering_randominit,3,764,0.989010989010989,0.8965303593556382,0.9703407262825432,0.8965303593556382,0.7647058823529413,4.864628713287423,0.4,3.150775127266409
entropic_clustering_randominit,4,901,0.9874558996471972,0.9899524061343205,0.9732007714964552,0.9899524061343205,0.7333333333333333,3.29554910700973,0.4,2.6043951618993404
entropic_clustering_randominit,5,1155,1.0,0.6922917958255839,0.9999096933144428,0.6922917958255839,0.7777777777777779,4.221068721441646,0.3,1.9483310221610877
entropic_clustering_randominit,average,6660,0.9962317066383852,0.8327162411653259,0.9898718648119376,0.8327162411653259,0.7669754541559816,5.404269110631347,0.3534684684684684,2.13169873480494
entropic_clustering_split_++,1,1912,0.9952110146662676,0.9616764748098175,0.9838057046698868,0.9627284501367104,0.7499999999999999,2.203905341053632,0.4333333333333333,2.9457890302234224
entropic_clustering_split_++,2,1889,0.9955092509430572,0.99470487463012,0.9884531714553392,0.995631143704166,0.7499999999999999,3.447044004906012,0.4,3.226820751633379
entropic_clustering_split_++,3,1772,1.0,0.8866788517363724,0.9998940531208592,0.8866788517363724,0.7777777777777779,7.383393341401131,0.3,1.5079831162641264
entropic_clustering_split_++,4,388,1.0,0.7901811805961426,0.9998575803199378,0.7901811805961426,0.7777777777777779,13.676651247733789,0.45,3.837812685527053
entropic_clustering_split_++,5,699,0.997948717948718,0.6767515923566879,0.9953497206024732,0.6767515923566879,0.7931034482758622,7.260430623207692,0.3,1.805759454228016
entropic_clustering_split_++,average,6660,0.9971361244623862,0.911194821984707,0.9915512021326406,0.9117595515801862,0.7635329294812054,5.133676851061216,0.3753803803803803,2.5752637069268087
entropic_clustering_split_++_norm,1,1707,0.9964105074237232,0.8607452618053325,0.9892264545808614,0.862057825876272,0.7499999999999999,1.6926533241090955,0.4666666666666667,3.038065587425748
entropic_clustering_split_++_norm,2,1748,0.999375390381012,0.8232970027247957,0.9979917367332496,0.8232970027247957,0.7777777777777779,3.0522887536839987,0.3666666666666666,3.0919066389562944
entropic_clustering_split_++_norm,3,1927,0.9994570135746608,0.6591140529531568,0.9986251015154068,0.6591140529531568,0.7931034482758622,7.788903894730351,0.3333333333333333,1.59810523279716
entropic_clustering_split_++_norm,4,583,1.0,0.8433428662217985,0.9998499358585408,0.8433428662217985,0.7499999999999999,12.608653479093077,0.3666666666666666,3.915579989929696
entropic_clustering_split_++_norm,5,695,1.0,0.8170326014637392,0.999884609008114,0.8170326014637392,0.8,7.46910306317375,0.4,1.930932289400148
entropic_clustering_split_++_norm,average,6660,0.9987589465040054,0.786491689448947,0.9962885886284696,0.7868281078977597,0.7749798649223937,5.371749155864304,0.3861311311311311,2.5968409341581977
entropic_clustering_split_randominit,1,1708,0.9962485728266188,0.9588424437299036,0.9888974726447528,0.9600128990648178,0.7499999999999999,1.6698715956411148,0.4333333333333333,2.4953221524032103
entropic_clustering_split_randominit,2,1936,0.9936552696510398,0.994487827285255,0.9841414469546804,0.9953980671882192,0.7499999999999999,3.625101558019041,0.4,3.2824468555734434
entropic_clustering_split_randominit,3,1820,1.0,0.8006095604748156,0.9998830184438604,0.8006095604748156,0.8181818181818181,7.630488335715352,0.35,1.5791409767510158
entropic_clustering_split_randominit,4,506,1.0,0.8139111434814276,0.9998491638356828,0.8139111434814276,0.7499999999999999,14.938489504616642,0.3666666666666666,4.1166208189459725
entropic_clustering_split_randominit,5,690,1.0,0.6605097894347987,0.9998478340956884,0.6605097894347987,0.7931034482758622,7.167272019315382,0.3,1.669562364414929
entropic_clustering_split_randominit,average,6660,0.9971935682330748,0.8840437719055116,0.992483558645076,0.8846085409992311,0.7730979412013894,5.4447626809828025,0.3819919919919919,2.5113922060382405
frequency_based,1,1226,0.99718574108818,0.8486063382970599,0.9938683356350272,0.8486063382970599,0.8,9.793825793682071,0.45,2.395218157306394
frequency_based,2,1827,0.995068865839143,0.9950521293514756,0.9879011533671184,0.9950521293514756,0.8,1.445097302899697,0.5,2.0889478535917325
frequency_based,3,486,0.987707881417209,0.8995793901156677,0.971722394725457,0.8995793901156677,0.7777777777777779,4.307607728320894,0.3333333333333333,2.753809498335121
frequency_based,4,507,0.9985433357611072,0.820476858345021,0.9966924971431952,0.820476858345021,0.7777777777777779,9.095521997224017,0.45,3.1953254104620026
frequency_based,5,2614,0.9652031063321386,0.9636534334763948,0.9242648365248955,0.9644008597528212,0.7499999999999999,6.123849540990931,0.4,2.5546124240427006
frequency_based,average,6660,0.9834638075096214,0.9355133689131798,0.9635114788670448,0.9358067281153688,0.7770620620620621,5.609623559183001,0.4355780780780781,2.460838358124993
random_clustering,1,733,0.9973166368515206,0.8810340279609602,0.9916536461070876,0.8810340279609602,0.7499999999999999,6.854382954424403,0.3666666666666666,2.6749294468920484
random_clustering,2,1603,0.998844598497978,0.8518471499301765,0.9950484039155494,0.8518471499301765,0.7647058823529413,7.394367968200912,0.4333333333333333,3.2913153224200578
random_clustering,3,868,0.9852413242919824,0.8447665056360709,0.9327712538876864,0.8447665056360709,0.7647058823529413,6.265131255151628,0.3666666666666666,2.9065684529253963
random_clustering,4,880,0.9752028854824166,0.981103552532124,0.9058787968520238,0.9821428571428572,0.7931034482758622,7.727878577653465,0.4,3.3668143674433826
random_clustering,5,2576,0.987613149118628,0.740015816528272,0.9541558920487888,0.740015816528272,0.7647058823529413,2.7866930462978616,0.3666666666666666,1.9504606843625936
random_clustering,average,6660,0.9894355055621588,0.827960678728328,0.9589593215608248,0.8280980042624789,0.7668395829906988,5.449643081635,0.3871171171171171,2.664682662134938
actitrac_freq,1,2775,0.9836266429048786,0.7469922786855809,0.964887435560969,0.7469922786855809,0.7647058823529413,3.1278802326941406,0.4666666666666667,3.7642188742586016
actitrac_freq,2,1064,0.9987261146496815,0.821917808219178,0.995480201906309,0.821917808219178,0.7777777777777779,7.320923853185989,0.45,1.8625268037098446
actitrac_freq,3,1111,0.9769462078182426,0.9330732292917167,0.9311356659402372,0.9330732292917167,0.7931034482758622,5.52622792606007,0.45,2.0463594981085995
actitrac_freq,4,1305,0.9961696306429548,0.9034763313609467,0.990200897847221,0.9034763313609467,0.7777777777777779,7.8412697077655045,0.45,2.6249292140706166
actitrac_freq,5,405,0.9827213822894169,0.6738197424892705,0.9498267318788297,0.6738197424892705,0.7333333333333333,5.7273222722193085,0.4,2.8722593345861327
actitrac_freq,average,6660,0.987327219932528,0.8162165296058528,0.9681887825031764,0.8162165296058528,0.7721850315494672,5.279488339377128,0.4539039039039039,2.8963572000725355
actitrac_dist,1,1377,0.9922952875828704,0.9936993699369937,0.9828423899388489,0.9936993699369937,0.7647058823529413,1.579032302166233,0.4666666666666667,2.9566857581966675
actitrac_dist,2,1227,0.9980700303280948,0.8567919894199887,0.9935179161356186,0.8567919894199887,0.7777777777777779,7.462909094092168,0.45,1.9291834427403118
actitrac_dist,3,1583,0.9751256946282085,0.7523691160478484,0.9522192259586462,0.7523691160478484,0.7777777777777779,4.662734166307804,0.43333333333333335,3.54614087734432
actitrac_dist,4,1123,0.9763962765957447,0.9319277108433734,0.9275859665442645,0.9319277108433734,0.7931034482758622,5.688999570048445,0.45,2.0929441316410715
actitrac_dist,5,1350,0.9955002646903124,0.903353057199211,0.9887573154814534,0.903353057199211,0.7777777777777779,7.970062126257293,0.45,2.659770880441657
actitrac_dist,average,6660,0.9872469802942316,0.8823858199131162,0.9694121479077938,0.8823858199131162,0.7776592684638662,5.3844978245361865,0.44948448448448447,2.701662512093753
