method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy
full_log,0,92426,0.8845897333376724,0.3658954173900275,-999.0,-999.0,0.5724137931034483,26.273173689265285,0.30752688172043013,29.931593065888325
trace2vec_based,1,19677,0.923314791187116,0.48375957699363337,-999.0,-999.0,0.6385542168674699,26.61567991315779,0.2569230769230769,23.815724741309417
trace2vec_based,2,31593,0.9488462241899047,0.3583874357207969,-999.0,-999.0,0.6216216216216216,23.1158094130375,0.20767195767195767,23.1689482354371
trace2vec_based,3,15687,0.8784928372144567,0.4734980698550658,-999.0,-999.0,0.5922330097087379,18.990999469044507,0.25,22.040122155650256
trace2vec_based,4,25400,0.9955286339403435,0.29315817660139665,-999.0,-999.0,0.5918367346938775,29.392945402888916,0.2922077922077922,19.50721789575393
trace2vec_based,average,92357,0.9442955958561717,0.38671084336566536,-999.0,-999.0,0.6120460333458054,24.88719991274705,0.24860360844790827,22.10796505023707
entropic_clustering_++,1,51953,0.8995543351588247,0.3003505874486405,-999.0,-999.0,0.5757575757575757,32.18258686443343,0.3114942528735632,30.602463295661888
entropic_clustering_++,2,14342,0.9563910901447343,0.4066542777499821,-999.0,-999.0,0.6216216216216216,17.7819951686778,0.16666666666666666,11.979651599178368
entropic_clustering_++,3,12854,0.9511849987709461,0.49463519313304716,-999.0,-999.0,0.6576576576576577,17.24991257464801,0.15579710144927536,14.135711599131847
entropic_clustering_++,4,13208,0.988869038452592,0.5030106381261401,-999.0,-999.0,0.6785714285714285,21.186274216444566,0.15833333333333333,14.914585191311525
entropic_clustering_++,average,92357,0.9283391797421502,0.3728808320117772,-999.0,-999.0,0.6089818161128402,26.295462132403745,0.24543106490649558,23.17522458435226
entropic_clustering_++_norm,1,52312,0.8668063814387271,0.48256147689709095,-999.0,-999.0,0.605095541401274,27.67225441646227,0.3114942528735632,31.236472518031494
entropic_clustering_++_norm,2,14935,0.9406606076835362,0.4634137958688006,-999.0,-999.0,0.6380952380952382,17.775698579883855,0.17965367965367965,11.107867087848636
entropic_clustering_++_norm,3,12027,0.9873266896561176,0.5175384512839313,-999.0,-999.0,0.6488549618320612,21.81849069628678,0.15942028985507245,15.162716489363476
entropic_clustering_++_norm,4,13083,0.997256597584613,0.36436208282407867,-999.0,-999.0,0.6551724137931035,25.121116546172377,0.1357142857142857,10.825298290944623
entropic_clustering_++_norm,average,92357,0.9129229810871935,0.46727616860574106,-999.0,-999.0,0.6232241157502431,24.948207355179942,0.24547043416347974,22.996932707626776
entropic_clustering_randominit,1,53717,0.882457361201082,0.3365779718701032,-999.0,-999.0,0.5802469135802469,28.645573275935217,0.3137931034482759,30.885814149416042
entropic_clustering_randominit,2,12593,0.9892556927897069,0.47576880590100845,-999.0,-999.0,0.6790123456790124,25.603513494896397,0.13043478260869565,12.136235902427961
entropic_clustering_randominit,3,12194,0.982204526102642,0.4724932874395278,-999.0,-999.0,0.663716814159292,16.86510776830426,0.17316017316017315,12.868805315894004
entropic_clustering_randominit,4,13853,0.9659086121182596,0.41561150475871034,-999.0,-999.0,0.6576576576576577,20.12438550064609,0.17572463768115942,15.263287066557421
entropic_clustering_randominit,average,92357,0.9227063785734613,0.3853564408774402,-999.0,-999.0,0.616345488585769,25.397268659352243,0.24951457834960633,23.607191930644007
entropic_clustering_split_++,1,22192,0.9931079222026077,0.4126881804448612,-999.0,-999.0,0.6666666666666666,22.080463280353715,0.14492753623188406,13.56999891037313
entropic_clustering_split_++,2,16070,0.9431210866973986,0.39849611742734514,-999.0,-999.0,0.6363636363636362,21.488335439320235,0.17,15.741954874726261
entropic_clustering_split_++,3,47855,0.9034075404254099,0.25096848695247986,-999.0,-999.0,0.5602836879432623,29.92520297445222,0.3114942528735632,31.38315356791128
entropic_clustering_split_++,4,6240,0.9744272635090658,0.5197262819971277,-999.0,-999.0,0.6585365853658536,14.48069194607562,0.12615384615384614,15.467259896650381
entropic_clustering_split_++,average,92357,0.9366696714282841,0.33365524703338995,-999.0,-999.0,0.6057220836778809,25.52873412641607,0.2343286308057033,23.306031447571318
entropic_clustering_split_++_norm,1,21461,0.9987731999962824,0.3605368308677749,-999.0,-999.0,0.6888888888888889,21.646723125922623,0.14624505928853754,12.484539363132608
entropic_clustering_split_++_norm,2,14325,0.972463896897499,0.497261535718884,-999.0,-999.0,0.6585365853658536,16.63156079546209,0.18181818181818182,14.85740640842075
entropic_clustering_split_++_norm,3,47786,0.8834884440552307,0.4536146826102573,-999.0,-999.0,0.605263157894737,31.457479266772626,0.31264367816091954,31.234748363386153
entropic_clustering_split_++_norm,4,8785,0.9479026487925457,0.37523605690545137,-999.0,-999.0,0.64,20.099068695119996,0.15760869565217392,14.952080394459456
entropic_clustering_split_++_norm,average,92357,0.9302047546525186,0.4313006313495942,-999.0,-999.0,0.6362623980095521,25.797772298028796,0.23893905029222265,22.788751882704215
entropic_clustering_split_randominit,1,22945,0.9365325761573068,0.49529492279396037,-999.0,-999.0,0.6451612903225807,17.213812553613586,0.1793478260869565,15.013002328192242
entropic_clustering_split_randominit,2,14577,0.9804167292179106,0.3964642044460004,-999.0,-999.0,0.6380952380952382,21.767539573276768,0.16847826086956522,15.76777603066668
entropic_clustering_split_randominit,3,43518,0.912837732939435,0.24744566967288628,-999.0,-999.0,0.5602836879432623,32.38009096317645,0.30919540229885056,31.60291583576327
entropic_clustering_split_randominit,4,11317,0.9958957119962475,0.4216955111690358,-999.0,-999.0,0.6666666666666666,25.439172118599192,0.11956521739130435,14.00640036752814
entropic_clustering_split_randominit,average,92357,0.9395681849395147,0.35389271483960516,-999.0,-999.0,0.6066874442732815,26.08668820775923,0.2314900717944459,22.825842479936128
frequency_based,1,53245,0.9502308141375497,0.29742588731988095,-999.0,-999.0,0.5833333333333333,28.400897142032985,0.2574712643678161,25.27631398839837
frequency_based,2,15080,0.8863148947268457,0.562076415401462,-999.0,-999.0,0.6390243902439026,25.79201787386951,0.1984126984126984,27.125918841864685
frequency_based,3,4939,0.9499319228639926,0.5275690128631305,-999.0,-999.0,0.6393442622950819,11.672847314640713,0.17786561264822134,18.805471306468377
frequency_based,4,19093,0.9397968140719093,0.37798715323161225,-999.0,-999.0,0.5922330097087379,22.117253450467015,0.24,22.12841489004803
frequency_based,average,92357,0.9376216491368806,0.36959976813650597,-999.0,-999.0,0.597261683511328,25.781330174023363,0.23995928001339825,24.581507007870815
random_clustering,1,24742,0.8878680589069383,0.3195863054612985,-999.0,-999.0,0.6176470588235294,26.768161533958644,0.23563218390804597,25.475961243097732
random_clustering,2,19805,0.8872993810741789,0.5575726520752506,-999.0,-999.0,0.642384105960265,27.981525706543778,0.24014778325123154,27.471643367509945
random_clustering,3,24105,0.8929078734546281,0.3521280938068203,-999.0,-999.0,0.6119402985074627,25.526508858972026,0.23103448275862068,28.75534578284005
random_clustering,4,23705,0.9310043656287327,0.4660044777969822,-999.0,-999.0,0.6338028169014084,24.737349301159167,0.2328042328042328,25.216376628389536
random_clustering,average,92357,0.9001331629708903,0.4166940739896776,-999.0,-999.0,0.6256088592973471,26.183043305009942,0.2346746742213845,26.69320081901309
