method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy
full_log,0,561470,0.9332410885147372,0.8127643151921125,0.8783301053122076,0.8127643151921125,0.6216216216216216,2.9348731045816607,0.5,11.42773673423794
trace2vec_based,1,205266,0.9865163687006248,0.99209592375781,0.978827899820656,0.99209592375781,0.7142857142857143,2.194012954073403,0.2884615384615384,9.301413810122057
trace2vec_based,2,43718,0.9938121462055516,0.7566152473527271,0.9932023505490588,0.7566152473527271,0.6470588235294118,0.2585580906270281,0.4230769230769231,10.62340546704132
trace2vec_based,3,288881,0.9952922714790112,0.9090433774410768,0.9963938070618912,0.9090433774410768,0.8181818181818181,0.2561585091978856,0.3717948717948718,8.197504999900788
trace2vec_based,4,23605,0.980276337629623,0.8891228466854146,0.946600649760788,0.8892548664810076,0.7647058823529413,4.011815870942872,0.3653846153846153,8.358511098811169
trace2vec_based,average,561470,0.9913373786175438,0.9267002190400236,0.987630070638396,0.9267057693406184,0.7646263437881868,1.1226924778992011,0.3450528100914586,8.796737392417056
entropic_clustering_++,1,283871,0.9997555319162994,0.9165894455499344,0.9991907937573108,0.9165624885232656,0.7560975609756097,0.0647322959343063,0.3461538461538461,9.942991119821937
entropic_clustering_++,2,67685,0.995355422825602,0.8025743582970936,0.9890591553634832,0.8025743582970936,0.6603773584905661,1.336967912737943,0.3717948717948718,9.587965016300789
entropic_clustering_++,3,97080,0.9769279997102304,0.67512730228444,0.9426128739599569,0.6757159597870109,0.7435897435897437,2.477118435465256,0.3461538461538461,7.670863187841773
entropic_clustering_++,4,112834,0.9970566718274156,0.8186115731419067,0.992275293236534,0.8186115731419067,0.875,0.510662191292094,0.2948717948717949,6.8394001739476975
entropic_clustering_++,average,561470,0.9947357777181444,0.841405568754718,0.9867971699049684,0.8414937204854109,0.7662907271071181,0.7248241404884578,0.3389391309351413,8.883631399373405
entropic_clustering_++_norm,1,68026,0.9935964943428528,0.7369744819073057,0.9883900968011842,0.7369744819073057,0.6428571428571429,1.3830468203233206,0.4294871794871794,10.34479604296092
entropic_clustering_++_norm,2,97066,0.976940336742899,0.6751201418134498,0.9426506732264978,0.675708832217341,0.7435897435897437,2.477161051213046,0.3525641025641026,7.572138850968424
entropic_clustering_++_norm,3,283539,0.8712287475375969,0.5714314517822789,0.8999664300872036,0.5714314517822789,0.6969696969696969,0.0430853953461163,0.2243589743589743,7.370681015632154
entropic_clustering_++_norm,4,112839,0.9970922331414004,0.8205380826070481,0.9923541547859702,0.8205380826070481,0.8,0.5105461010561066,0.3012820512820512,6.869939952305997
entropic_clustering_++_norm,average,561470,0.929624564436138,0.6594767964480435,0.9366259765700576,0.6595785682662068,0.7191792490433557,0.7201758936443126,0.286834856121728,7.665209190332774
entropic_clustering_randominit,1,283861,0.9997247334796852,0.8461348661912638,0.9991973689964512,0.84608896121508,0.7499999999999999,0.0646839225039161,0.3333333333333333,9.571947649722365
entropic_clustering_randominit,2,67659,0.9953888298222564,0.8025901724422637,0.9891416241453662,0.8025901724422637,0.6603773584905661,1.3334034922085796,0.358974358974359,9.45988543426375
entropic_clustering_randominit,3,112766,0.9970871445791676,0.8185666480554978,0.9923286397681746,0.8185666480554978,0.875,0.5048330543646152,0.2756410256410256,6.795370465616494
entropic_clustering_randominit,4,97184,0.9768285861226168,0.6751708863567336,0.9424024057711312,0.6757592357996371,0.7435897435897437,2.5001423537129224,0.391025641025641,7.925851042817215
entropic_clustering_randominit,average,561470,0.994709447818362,0.8057588682984105,0.9867755433118643,0.8058374967555224,0.7631957136430065,0.7275185290700149,0.3348220764814705,8.71587382062363
entropic_clustering_split_++,1,369496,0.9649260664707155,0.6710138757287045,0.9682183835529456,0.6710254176810557,0.6774193548387096,1.2190410839269077,0.4551282051282051,8.449592726311
