method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy
full_log,0,15214,0.9669797292104476,0.6185951162675665,0.9622365844272318,0.6186236197448624,0.5929203539823008,24.44367193092122,0.4411764705882353,23.5804913088206
trace2vec_based,1,2725,0.9833363993816392,0.6498571742474182,0.9799127929933412,0.6498571742474182,0.627906976744186,16.500452528193463,0.5641025641025641,18.504714337550457
trace2vec_based,2,2987,0.9931107727053884,0.4022711505458795,0.997398613710975,0.4022711505458795,0.6074766355140188,32.76731811491619,0.3875,20.15755886081088
trace2vec_based,3,3693,0.96093406476285,0.5326450606514644,0.9553907309005062,0.5326450606514644,0.6103896103896105,23.9476054909798,0.5576923076923077,18.41379284356542
trace2vec_based,4,2588,0.9727454790187892,0.7078006195437905,0.9520084984109528,0.7078474452143542,0.6615384615384615,22.841495122231727,0.4807692307692308,16.53963257172336
trace2vec_based,5,1561,0.9481050087527988,0.78384645111426,0.9282226786297304,0.78384645111426,0.6421052631578946,28.48573015321752,0.3382352941176471,19.97442913572888
trace2vec_based,6,1660,0.9553904620933829,0.4220389041653936,0.8396664815687405,0.4220389041653936,0.6521739130434783,30.880859562173235,0.3761904761904762,16.199470943792562
trace2vec_based,average,15214,0.9713519424867838,0.5715433041917877,0.9520408797101204,0.5715512695418218,0.629469212763264,25.379286213059423,0.4700205030440244,18.37214977005013
entropic_clustering_++,1,7381,0.9818355252044596,0.5304582383353136,0.927959721198282,0.5346786812712458,0.6000000000000001,28.304958206879864,0.4084967320261438,24.072629279626973
entropic_clustering_++,2,1217,0.9087672825423452,0.6373902132998746,0.917252262508158,0.643476422076549,0.6385542168674699,11.37225573253327,0.2058823529411764,10.176307319422929
entropic_clustering_++,3,1283,0.9786155321036548,0.5223367697594501,0.9821093913878696,0.522836814321781,0.6086956521739131,18.399937779786583,0.3208333333333333,17.723673172754957
entropic_clustering_++,4,2123,0.9739882438618394,0.4265311486900902,0.9806264662459436,0.4307801670517149,0.6000000000000001,19.29702589327503,0.238562091503268,14.06498318289816
entropic_clustering_++,5,1389,0.9835836651030994,0.4641241111829347,0.969355716117282,0.4677666083916084,0.5849056603773586,16.817000690429165,0.3104575163398693,20.264465736039348
entropic_clustering_++,6,1821,0.9047750983948304,0.5379037574159525,0.9429923299960894,0.5441629808336684,0.588235294117647,19.42865406118018,0.3291666666666666,17.282882505426866
